File Size (MB),No of Tags,XML Depth,No of Attributes,No of Elements,CPU Cores,Memory Usage (MB),Efficient_Algo_Label
0.74,100,10,3,1408,2,252,0
0.74,100,29,42,746,1,50,1
0.75,314,18,35,1208,2,50,1
0.75,762,22,22,4475,2,225,2
0.76,707,16,20,359,1,254,1
0.77,100,22,20,376,1,235,1
0.77,625,13,21,770,2,50,1
0.78,100,5,11,1305,1,50,0
0.78,638,8,4,1612,2,262,0
0.79,375,28,44,780,1,283,1
0.79,353,4,3,1234,2,50,0
0.79,366,22,22,510,2,133,1
0.79,100,23,24,375,2,205,1
0.79,920,15,15,693,2,162,1
0.8,280,20,25,232,2,60,1
0.8,100,29,44,1007,2,92,1
0.81,100,8,20,976,1,142,0
0.82,821,20,36,138,2,50,1
0.82,100,10,1,1347,2,50,0
0.82,100,14,29,863,1,87,1
0.83,358,14,27,6382,1,50,2
0.83,882,18,10,7308,1,50,2
0.83,1017,4,31,8806,6,189,3
0.83,371,28,26,540,2,297,1
0.83,306,18,33,1340,1,50,1
0.83,926,9,20,539,1,320,0
0.84,975,17,37,1337,1,50,1
0.84,395,10,12,1426,2,191,0
0.84,100,23,34,8001,1,50,2
0.85,100,28,35,358,1,50,1
0.85,100,6,7,1189,1,50,0
0.85,584,13,35,6087,2,66,2
0.85,100,13,25,3848,1,174,2
0.86,100,5,6,681,2,180,0
0.86,100,5,11,1567,2,50,0
0.86,1064,29,19,252,4,62,3
0.86,100,7,23,832,1,50,0
0.87,100,5,28,656,1,306,0
0.87,100,26,21,973,1,307,1
0.88,100,8,19,3968,14,50,3
0.88,100,19,45,1043,1,149,1
0.88,454,27,23,1069,2,50,1
0.89,232,2,17,330,2,94,0
0.89,100,3,24,862,1,50,0
0.89,754,10,11,381,2,50,0
0.9,806,6,16,928,2,50,0
0.9,743,16,39,7092,8,50,3
0.9,291,6,31,9055,8,111,3
0.91,100,22,30,1064,1,50,1
0.91,100,24,53,2422,4,50,3
0.92,398,9,34,2958,2,50,2
0.92,100,27,34,1089,1,174,1
0.92,424,3,6,524,1,50,0
0.93,764,4,19,1711,1,204,0
0.93,295,12,28,547,2,69,1
0.94,796,2,9,1294,1,50,0
0.94,100,11,30,1372,1,50,1
0.95,586,15,32,921,2,50,1
0.95,100,5,12,650,2,225,0
0.95,588,21,39,198,1,276,1
0.96,900,13,38,8108,2,126,2
0.96,100,4,1,1546,2,288,0
0.97,100,22,56,7047,8,199,3
0.99,100,4,12,1888,1,102,0
1.0,100,27,7,4026,14,182,3
1.0,920,30,31,312,1,50,1
1.01,682,16,59,7776,6,50,3
1.02,100,27,33,958,2,273,1
1.02,100,14,26,3656,10,50,3
1.02,100,6,4,1681,2,50,0
1.03,100,12,13,4930,1,310,2
1.04,100,2,24,1524,2,50,0
1.05,100,27,42,306,1,50,1
1.05,100,29,36,707,1,50,1
1.06,1012,2,22,171,1,50,0
1.07,461,10,25,8238,1,50,2
1.08,100,8,17,1766,2,50,0
1.08,613,10,22,442,1,50,0
1.08,306,9,19,1468,2,326,0
1.1,100,10,58,7520,10,268,3
1.11,100,28,40,749,1,109,1
1.12,1002,6,11,1036,2,50,0
1.12,1064,20,23,1027,2,50,1
1.12,899,30,22,115,2,50,1
1.12,151,17,38,7577,2,197,2
1.13,617,22,35,1357,1,310,1
1.14,805,2,2,1431,1,271,0
1.14,190,17,33,1476,2,50,1
1.14,795,6,11,1482,2,53,0
1.14,778,23,9,1710,8,50,3
1.15,230,6,26,219,1,50,0
1.15,100,8,5,854,2,91,0
1.15,100,29,36,779,2,50,1
1.16,100,19,27,487,2,86,1
1.16,819,11,40,1095,2,266,1
1.16,100,5,24,3586,14,74,3
1.17,100,15,27,976,2,50,1
1.17,100,12,28,1309,1,50,1
1.17,900,16,46,1437,1,179,2
1.17,730,7,5,655,1,50,0
1.17,132,7,8,1514,2,284,0
1.18,426,9,14,1258,1,187,0
1.18,100,25,31,9292,4,298,3
1.19,100,8,10,5264,4,86,3
1.19,463,12,29,1301,1,50,1
1.2,217,27,33,1356,2,298,1
1.21,100,10,15,1339,1,304,1
1.21,1051,9,30,187,2,50,0
1.22,692,14,57,4364,10,50,3
1.22,556,3,22,473,2,184,0
1.22,902,5,27,1028,2,50,0
1.22,100,26,15,164,2,157,1
1.22,574,7,20,1987,2,173,0
1.22,581,15,28,760,2,167,1
1.23,134,4,10,320,1,123,0
1.24,100,16,16,7673,6,312,3
1.24,719,27,27,1203,1,50,1
1.25,100,2,10,1100,1,155,0
1.25,100,3,5,8005,12,50,3
1.25,895,28,40,336,1,50,1
1.27,547,6,6,954,2,160,0
1.27,609,7,25,1885,2,83,0
1.27,316,8,6,1709,1,178,0
1.27,100,22,54,1384,10,50,3
1.27,100,8,9,413,2,324,0
1.27,722,6,8,1200,2,50,0
1.28,933,14,47,5195,12,274,3
1.28,766,15,19,889,1,50,1
1.29,405,10,30,1975,1,100,0
1.29,741,4,20,1834,1,313,0
1.29,100,14,40,5276,6,193,3
1.29,100,27,38,4605,4,143,3
1.3,100,3,11,1736,1,50,0
1.31,507,3,2,2281,6,50,3
1.31,632,28,3,1750,4,190,3
1.31,100,8,1,1884,1,210,0
1.31,100,3,25,1166,1,50,0
1.31,100,13,21,1431,2,113,1
1.32,100,22,18,7295,12,162,3
1.32,777,5,18,820,1,169,0
1.32,734,16,22,669,6,281,3
1.32,100,18,37,844,2,190,1
1.32,100,29,36,201,1,152,1
1.33,126,7,20,862,1,50,0
1.34,100,13,19,1116,1,50,1
1.34,1017,17,12,1821,10,54,3
1.34,100,4,28,1122,1,226,0
1.35,100,22,34,1021,1,217,1
1.35,100,6,19,564,1,230,0
1.35,431,23,18,344,2,50,1
1.36,100,28,52,675,16,50,3
1.36,538,22,45,1220,2,54,1
1.36,100,15,3,3727,8,50,3
1.37,100,10,21,152,1,50,0
1.37,287,23,16,1152,1,203,1
1.37,294,16,34,1403,2,50,1
1.38,100,18,14,2324,16,50,3
1.38,816,25,43,286,1,50,1
1.4,100,4,12,831,2,50,0
1.4,555,5,26,386,1,168,0
1.4,938,13,20,1189,1,269,1
1.41,501,6,25,3938,8,50,3
1.41,100,15,23,830,2,50,1
1.42,100,30,22,220,1,253,1
1.42,107,10,22,1182,1,114,0
1.43,567,9,18,531,2,50,0
1.43,100,21,42,360,1,118,1
1.44,602,4,21,302,1,181,0
1.44,100,3,20,494,1,88,0
1.44,866,14,22,217,1,115,1
1.46,100,11,25,449,2,50,1
1.5,326,4,20,230,2,59,0
1.5,100,25,38,919,2,50,1
1.51,100,2,1,1419,1,313,0
1.51,100,9,52,6943,4,53,3
1.51,227,17,17,273,2,104,1
1.52,974,6,6,3750,4,50,3
1.52,100,17,30,927,2,258,1
1.52,1110,5,26,370,2,50,0
1.55,989,12,56,2210,10,50,3
1.55,437,15,31,4640,6,239,3
1.55,100,22,57,7137,6,50,3
1.56,100,6,29,1817,2,192,0
1.57,100,3,14,132,1,50,0
1.57,100,9,44,3598,2,50,2
1.59,1171,6,18,398,8,50,3
1.59,508,20,10,4997,2,212,2
1.59,546,4,44,4314,16,50,3
1.59,520,2,5,1014,1,226,0
1.6,100,6,18,1432,2,246,0
1.6,1042,25,38,4372,2,300,2
1.6,100,22,33,569,1,178,1
1.6,100,10,12,1727,2,50,0
1.6,100,4,14,498,1,249,0
1.61,100,26,20,1050,2,97,1
1.61,100,13,30,959,1,50,1
1.62,1166,17,8,1252,4,184,3
1.62,100,11,22,1070,2,50,1
1.62,654,23,18,1131,1,50,1
1.63,786,8,1,1796,1,193,0
1.63,267,10,17,754,2,226,1
1.63,100,12,10,5252,1,158,2
1.63,357,26,31,749,2,248,1
1.65,100,18,27,6661,2,50,2
1.65,717,13,42,1443,1,50,1
1.65,100,23,17,1277,2,150,1
1.65,1020,17,20,565,1,50,1
1.66,857,2,20,165,1,50,0
1.66,766,14,27,629,1,104,1
1.66,917,14,52,7985,10,215,3
1.66,547,4,18,814,1,50,0
1.66,100,11,20,1040,1,50,1
1.67,543,23,14,2637,8,50,3
1.67,151,21,56,750,14,101,3
1.68,100,21,54,7688,12,50,3
1.68,734,5,60,9128,6,50,3
1.68,700,6,25,1991,2,50,0
1.68,100,22,45,637,1,50,1
1.69,1015,8,33,3126,2,50,2
1.69,218,8,34,2758,2,50,2
1.69,100,16,32,1108,2,50,1
1.69,702,7,16,1780,2,50,0
1.69,111,29,58,1290,14,298,3
1.7,364,15,44,801,1,50,1
1.7,100,10,29,1136,1,59,1
1.7,100,6,12,1767,1,50,0
1.71,769,19,34,1168,10,50,3
1.71,651,16,17,1031,1,158,1
1.71,936,8,22,1369,1,134,0
1.71,100,2,10,1676,1,148,0
1.71,100,17,15,1248,1,50,1
1.71,338,7,10,1357,2,290,0
1.73,322,6,48,2309,6,50,3
1.73,685,18,36,1227,1,50,1
1.73,1137,2,39,2885,12,50,3
1.73,1017,8,16,1617,1,50,0
1.75,100,22,44,8622,2,50,2
1.75,524,6,24,430,1,64,0
1.76,584,4,3,1038,1,275,0
1.76,100,24,20,8958,10,98,3
1.76,1112,16,40,1473,2,306,1
1.76,1166,22,30,829,2,52,1
1.76,574,18,23,844,2,68,1
1.77,331,19,45,6074,10,117,3
1.77,666,7,15,533,1,286,0
1.77,745,3,9,862,1,50,0
1.77,1244,11,30,1404,1,50,1
1.77,100,10,8,1243,1,50,0
1.78,100,12,31,1502,16,96,3
1.78,137,2,30,3661,8,216,3
1.79,1060,25,17,1203,1,50,1
1.8,1131,9,7,1574,2,50,0
1.81,100,8,15,337,2,50,0
1.81,100,16,60,5877,16,50,3
1.81,858,22,32,819,1,80,1
1.82,633,29,42,1065,2,50,1
1.82,820,28,21,602,2,149,1
1.83,100,29,44,478,1,315,1
1.83,1193,5,9,2844,14,112,3
1.83,100,15,23,1495,1,50,1
1.83,100,30,24,106,1,50,1
1.83,100,6,29,1303,1,50,0
1.83,100,16,39,556,1,50,1
1.84,643,23,24,1006,1,318,1
1.84,716,6,8,379,1,144,0
1.84,389,18,27,8301,1,223,2
1.84,100,28,39,650,2,111,1
1.85,598,6,1,1611,2,272,0
1.85,831,6,1,3867,8,50,3
1.87,697,7,12,1205,1,313,0
1.87,778,4,20,849,2,80,0
1.87,1021,2,25,1331,2,255,0
1.88,266,6,22,575,2,62,0
1.89,100,9,9,6740,8,50,3
1.89,464,8,10,8307,1,50,2
1.9,357,5,26,624,2,50,0
1.91,100,22,36,6409,12,190,3
1.91,100,24,45,7491,2,197,2
1.92,100,8,13,1596,1,50,0
1.92,871,10,15,1093,2,217,0
1.93,187,7,22,1356,1,112,0
1.93,826,5,23,1334,1,50,0
1.94,100,7,25,1065,1,94,0
1.96,290,26,42,264,1,50,1
1.96,100,7,24,1358,1,177,0
1.96,339,15,16,762,1,182,1
1.97,100,16,34,6909,1,64,2
1.97,100,13,17,683,1,84,1
1.98,849,2,6,886,2,50,0
1.98,1006,18,31,1052,1,137,1
1.98,100,16,22,331,2,50,1
2.0,100,20,4,7060,10,282,3
2.0,596,8,28,270,1,50,0
2.0,689,6,12,8526,14,50,3
2.0,416,10,9,438,1,72,0
2.0,100,10,10,1575,1,72,0
2.01,1030,11,43,1016,1,50,1
2.02,873,17,18,936,2,50,1
2.02,100,8,27,925,2,71,0
2.02,657,4,2,393,2,314,0
2.03,100,9,7,283,1,198,0
2.03,100,2,4,576,1,209,0
2.03,913,29,15,528,2,157,1
2.04,100,22,16,944,2,266,1
2.05,629,23,28,5755,4,50,3
2.05,368,6,9,4489,10,84,3
2.06,100,6,36,8029,8,139,3
2.07,100,12,49,4432,12,50,3
2.07,574,27,44,1338,2,131,1
2.08,766,11,18,987,1,130,1
2.08,1146,8,5,1984,1,277,0
2.08,171,22,39,965,1,50,1
2.08,213,22,15,5015,2,50,2
2.1,214,22,13,8414,1,311,2
2.1,932,23,13,7987,16,50,3
2.11,100,23,48,1496,6,50,3
2.12,100,6,6,1393,1,198,0
2.12,100,7,8,146,2,338,0
2.12,100,22,24,141,2,79,1
2.13,100,18,22,1026,1,50,1
2.14,631,6,24,1753,2,334,0
2.14,646,16,35,6563,1,314,2
2.14,657,24,44,531,2,206,1
2.14,1008,18,31,7536,2,50,2
2.15,1017,19,40,9010,10,57,3
2.15,100,4,22,203,1,359,0
2.16,802,13,49,7347,1,103,2
2.16,992,17,25,4913,2,50,2
2.18,100,5,30,1805,2,50,0
2.18,1069,20,20,995,1,114,1
2.18,100,6,7,1114,2,50,0
2.19,428,27,32,1273,1,243,1
2.19,822,8,28,7552,2,50,2
2.19,538,4,19,144,1,343,0
2.19,100,21,36,321,2,152,1
2.21,445,10,8,1871,2,71,0
2.22,100,4,4,1488,1,50,0
2.22,100,21,40,978,8,296,3
2.23,972,25,15,7325,12,248,3
2.23,616,3,31,4108,16,165,3
2.24,100,19,27,776,2,310,1
2.24,100,24,33,590,2,50,1
2.25,439,21,25,289,2,50,1
2.26,100,13,33,4487,16,50,3
2.26,100,10,28,397,1,136,0
2.27,100,18,9,7052,12,314,3
2.27,1169,4,27,1084,1,256,0
2.27,538,15,19,2677,14,50,3
2.28,1083,10,21,332,1,243,0
2.28,100,14,12,6280,12,50,3
2.28,100,20,34,447,2,50,1
2.28,100,13,16,5707,2,251,2
2.28,100,18,17,318,1,206,1
2.29,100,21,35,283,2,244,1
2.29,191,27,37,1375,16,182,3
2.29,100,10,11,1919,2,50,0
2.31,100,29,37,956,2,348,1
2.31,846,30,31,301,2,274,1
2.31,100,3,15,4653,14,218,3
2.32,1120,6,12,117,2,80,0
2.32,1099,6,44,8991,8,50,3
2.32,776,20,32,1023,2,50,1
2.32,1171,10,15,1000,2,50,1
2.33,100,26,30,615,1,176,1
2.33,100,10,22,513,2,50,0
2.33,100,16,37,915,2,257,1
2.34,800,14,16,694,2,50,1
2.34,182,13,17,1445,1,50,1
2.34,1051,3,21,1777,1,50,0
2.34,100,28,33,294,1,134,1
2.34,100,2,3,444,2,265,0
2.34,174,18,15,513,1,50,1
2.35,100,19,17,198,1,328,1
2.36,1186,25,30,1321,2,287,1
2.38,880,12,19,648,2,170,1
2.38,100,11,23,3369,1,50,2
2.38,100,11,23,217,1,50,1
2.39,1279,10,55,814,16,50,3
2.39,100,27,43,552,1,164,1
2.4,329,15,45,103,2,65,1
2.4,373,19,43,2569,2,50,2
2.4,445,13,39,1006,2,269,1
2.4,100,24,50,8574,2,50,2
2.4,331,17,39,782,2,160,1
2.4,100,15,14,1431,1,50,2
2.4,100,15,43,3871,1,249,2
2.41,1214,20,46,612,4,119,3
2.42,790,22,34,242,1,139,1
2.42,771,2,9,1742,2,74,0
2.42,791,9,19,1633,1,50,0
2.43,932,2,18,407,1,50,0
2.43,100,3,29,888,2,50,0
2.43,100,17,28,610,1,203,1
2.43,142,18,45,8115,2,50,2
2.44,640,16,33,593,1,50,1
2.44,100,6,16,1050,1,87,0
2.44,100,2,9,1211,2,66,0
2.44,303,23,28,1391,2,50,1
2.45,432,10,24,1476,2,54,0
2.45,705,7,14,1359,2,336,0
2.45,100,28,18,687,1,50,1
2.45,733,28,56,9125,4,288,3
2.45,100,20,17,8343,1,50,2
2.46,797,6,5,1515,1,197,0
2.46,399,20,34,207,2,260,1
2.46,100,6,15,661,2,343,0
2.46,100,10,16,1736,2,157,0
2.46,845,7,13,1703,2,185,0
2.46,987,22,33,4475,4,281,3
2.47,100,25,33,9084,6,154,3
2.47,1068,19,36,7251,12,148,3
2.47,100,4,16,1523,1,365,0
2.48,100,21,18,2411,2,50,2
2.48,100,11,15,4437,16,121,3
2.49,100,25,22,839,1,316,1
2.49,100,4,27,390,1,50,0
2.5,457,4,19,1963,2,110,0
2.5,211,23,32,7545,10,181,3
2.51,398,5,4,1594,2,304,0
2.51,912,11,12,6947,2,50,2
2.51,220,18,15,1437,1,50,1
2.51,440,2,25,1843,1,127,0
2.51,100,25,17,224,2,61,1
2.52,612,11,48,1915,1,206,2
2.52,622,7,15,931,2,50,0
2.52,100,20,44,836,6,78,3
2.53,100,13,44,8755,2,196,2
2.54,100,14,32,2234,2,50,2
2.54,1073,21,17,1042,1,50,1
2.54,1321,4,15,1003,1,64,0
2.54,100,6,18,2000,2,50,0
2.54,100,3,18,758,2,50,0
2.54,100,15,46,1644,4,50,3
2.55,100,5,17,1332,2,50,0
2.55,100,24,34,1022,1,297,1
2.55,952,7,21,9058,16,267,3
2.55,112,7,25,130,1,336,0
2.56,987,4,21,1867,2,169,0
2.57,342,9,27,5322,8,117,3
2.57,252,25,17,2816,2,120,2
2.58,100,30,34,5362,12,50,3
2.58,100,22,20,609,2,50,1
2.59,100,9,29,375,2,379,0
2.6,169,28,35,1044,1,148,1
2.6,601,7,30,1119,1,365,0
2.6,1018,22,23,3349,2,327,2
2.6,364,4,2,1888,1,50,0
2.6,776,8,18,418,1,98,0
2.61,1081,24,28,1676,12,50,3
2.61,100,15,47,719,6,270,3
2.61,1354,9,44,9296,12,50,3
2.61,583,12,19,1138,1,50,1
2.61,100,13,37,1104,2,336,1
2.62,100,4,47,8925,8,50,3
2.62,100,30,39,100,1,73,1
2.63,298,27,17,490,2,50,1
2.63,546,9,11,1200,1,50,0
2.63,166,22,19,6475,16,63,3
2.64,205,10,10,5883,1,214,2
2.64,322,9,23,1624,8,336,3
2.65,100,18,37,2060,1,83,2
2.65,1099,21,15,320,2,179,1
2.65,695,3,12,210,2,376,0
2.68,100,23,25,709,1,250,1
2.68,285,7,7,983,2,77,0
2.68,100,6,16,2313,16,50,3
2.69,100,13,21,498,1,206,1
2.69,100,9,10,1991,2,111,0
2.69,193,4,22,303,2,248,0
2.7,100,17,1,7896,10,104,3
2.7,100,9,34,2413,2,50,2
2.7,752,16,43,1303,1,50,1
2.7,323,9,19,597,2,97,0
2.71,100,10,17,1710,2,320,0
2.72,245,9,2,1818,2,202,0
2.72,100,20,19,831,1,50,1
2.74,826,29,22,941,2,218,1
2.75,100,24,21,415,1,50,1
2.75,405,19,23,930,2,50,1
2.76,100,10,30,1464,2,50,1
2.76,658,10,5,1987,2,50,0
2.76,289,15,19,1139,2,50,1
2.77,100,20,16,858,1,191,1
2.77,100,14,41,674,1,156,1
2.77,154,2,30,691,2,238,0
2.78,100,8,4,970,2,233,0
2.79,100,13,30,9463,8,50,3
2.8,1055,8,25,450,1,50,0
2.81,100,9,1,1572,1,50,0
2.81,100,3,23,970,2,50,0
2.82,100,26,26,676,2,56,1
2.82,268,22,25,1834,16,50,3
2.82,623,19,2,2841,8,129,3
2.83,828,4,30,1319,1,151,0
2.83,1008,18,31,8189,12,193,3
2.83,485,19,28,1755,10,281,3
2.83,1235,6,15,546,2,50,0
2.83,100,9,18,469,1,352,0
2.85,815,20,22,531,1,50,1
2.85,100,19,42,1189,12,50,3
2.85,1320,29,29,3759,16,50,3
2.85,841,12,31,7743,2,85,2
2.86,535,15,15,761,2,50,1
2.86,618,13,34,8718,4,50,3
2.86,100,19,27,6911,6,50,3
2.88,1071,7,13,628,1,50,0
2.89,100,19,38,416,2,50,1
2.89,100,3,10,111,2,245,0
2.9,312,14,53,8412,8,50,3
2.9,1228,10,19,244,1,50,0
2.9,286,22,37,1162,1,50,1
2.9,100,14,21,911,1,151,1
2.9,932,11,16,864,1,230,1
2.91,224,12,16,1468,1,50,1
2.92,871,9,25,844,2,50,0
2.92,1252,8,30,1751,2,50,0
2.92,233,20,42,8885,12,138,3
2.93,262,19,14,4801,16,50,3
2.93,100,27,21,1688,14,93,3
2.93,953,4,11,669,1,50,0
2.93,100,28,40,1088,2,50,1
2.94,1097,5,23,1639,2,194,0
2.95,1068,20,14,2268,14,173,3
2.95,100,12,37,4269,12,280,3
2.95,983,6,29,1613,2,322,0
2.96,1016,8,37,6247,6,97,3
2.98,973,11,22,829,1,324,1
2.98,948,9,10,1273,2,62,0
2.98,100,21,24,1121,2,50,1
2.99,100,7,12,943,2,50,0
3.0,100,17,19,1190,1,50,1
3.01,191,6,11,5036,4,50,3
3.01,1038,4,14,908,1,50,0
3.01,1077,5,19,1134,2,153,0
3.02,158,9,26,306,1,50,0
3.02,851,25,44,1820,6,50,3
3.02,256,4,8,1964,2,289,0
3.02,879,12,39,1252,1,203,1
3.02,335,10,10,401,1,214,0
3.03,1179,13,17,6959,12,88,3
3.03,401,4,6,107,2,243,0
3.03,710,17,36,666,2,192,1
3.04,1164,18,15,1491,2,104,1
3.04,483,12,20,2820,1,50,2
3.04,100,6,24,874,1,92,0
3.04,685,25,37,3132,2,122,2
3.05,1005,9,6,1115,1,87,0
3.06,957,10,13,1987,2,174,0
3.07,613,7,25,5775,10,50,3
3.07,1169,19,17,144,2,50,1
3.07,115,4,6,375,1,50,0
3.08,675,7,1,759,2,86,0
3.08,100,13,38,908,2,262,1
3.08,389,4,23,645,1,335,0
3.08,100,25,9,6520,4,211,3
3.09,292,5,24,1011,2,101,0
3.09,431,17,25,104,2,350,1
3.09,475,17,31,1288,1,141,1
3.1,1216,3,17,1115,1,50,0
3.1,466,4,25,820,2,98,0
3.1,100,11,47,6901,2,127,2
3.11,377,22,17,2801,2,50,2
3.11,178,3,30,1161,2,50,0
3.11,100,12,23,1265,2,117,1
3.12,100,4,26,1429,1,50,0
3.12,100,15,26,461,2,50,1
3.13,823,8,13,619,1,367,0
3.13,1088,2,26,699,1,250,0
3.14,100,9,1,1800,1,376,0
3.14,121,2,27,628,1,50,0
3.14,100,7,23,1182,2,65,0
3.15,1088,28,25,9417,8,304,3
3.15,887,27,45,878,2,310,1
3.15,563,23,31,657,1,338,1
3.16,920,27,10,2550,6,50,3
3.16,911,6,19,1597,1,50,0
3.16,299,30,60,2660,16,67,3
3.16,100,21,35,589,1,50,1
3.17,100,3,13,949,1,50,0
3.18,908,4,10,842,2,312,0
3.19,100,30,21,1184,1,232,1
3.19,1131,8,18,683,2,167,0
3.19,100,28,34,296,2,266,1
3.2,100,10,6,990,2,50,0
3.21,109,16,44,6529,14,330,3
3.21,991,6,8,1407,1,194,0
3.21,100,17,34,162,1,271,1
3.22,784,6,5,1833,2,310,0
3.23,1069,26,41,1493,1,50,1
3.23,100,3,28,989,1,406,0
3.23,872,15,9,5755,12,50,3
3.23,100,17,28,1171,1,143,1
3.25,991,9,4,1765,1,225,0
3.26,100,9,35,5262,10,50,3
3.26,813,10,14,1665,1,213,0
3.27,1053,3,19,7764,8,56,3
3.27,1225,6,9,1641,1,161,0
3.27,100,10,27,1561,2,293,0
3.28,904,6,21,5072,14,50,3
3.28,113,17,36,148,2,50,1
3.28,658,15,42,606,1,51,1
3.28,100,18,33,1390,2,71,1
3.28,774,9,11,1639,2,374,0
3.28,751,17,44,6853,14,257,3
